account,text,link,timestamp
@USGunIncidents,"Memphis, Tennessee - Killed: 1, Injured: 0  https://t.co/Sv46Vk43LH",http://twitter.com/USGunIncidents/status/788462465776574464,"October 18, 2016 at 02:31PM"
@USGunIncidents,"Kent, Washington - Killed: 0, Injured: 2  https://t.co/CeBYhq8R08",http://twitter.com/USGunIncidents/status/788468253878280192,"October 18, 2016 at 02:54PM"
@USGunIncidents,"Macon, Georgia - Killed: 0, Injured: 1  https://t.co/6Mvat29zkM",http://twitter.com/USGunIncidents/status/788484867218608129,"October 18, 2016 at 04:00PM"
@USGunIncidents,"Duluth, Minnesota - Killed: 1, Injured: 0  https://t.co/DsypfNk7Jy",http://twitter.com/USGunIncidents/status/788507517924040705,"October 18, 2016 at 05:30PM"
@USGunIncidents,"Louisville, Kentucky - Killed: 0, Injured: 1  https://t.co/vWtsRZaL9C",http://twitter.com/USGunIncidents/status/788536454398021632,"October 18, 2016 at 07:25PM"
@USGunIncidents,"Cape Coral, Florida - Killed: 0, Injured: 1  https://t.co/fOMRMosAaJ",http://twitter.com/USGunIncidents/status/788552812590432256,"October 18, 2016 at 08:30PM"
@USGunIncidents,"Birmingham, Alabama - Killed: 0, Injured: 1  https://t.co/b6xYMZ28Jk",http://twitter.com/USGunIncidents/status/788554574487519232,"October 18, 2016 at 08:37PM"
@USGunIncidents,"Chicago, Illinois - Killed: 0, Injured: 1  https://t.co/StBCEs0MZH",http://twitter.com/USGunIncidents/status/788571691186282496,"October 18, 2016 at 09:45PM"
@USGunIncidents,"Pueblo, Colorado - Killed: 0, Injured: 1  https://t.co/OCrgGEiBXz",http://twitter.com/USGunIncidents/status/788587037196705800,"October 18, 2016 at 10:46PM"
@USGunIncidents,"Louisville, Kentucky - Killed: 0, Injured: 1  https://t.co/z3vIRSy110",http://twitter.com/USGunIncidents/status/788605661449945088,"October 19, 2016 at 12:00AM"
@USGunIncidents,"Dallas, Texas - Killed: 0, Injured: 2  https://t.co/T577O3p7H4",http://twitter.com/USGunIncidents/status/788749113269612544,"October 19, 2016 at 09:30AM"
@USGunIncidents,"Florence, South Carolina - Killed: 0, Injured: 1  https://t.co/olOug3qs8w",http://twitter.com/USGunIncidents/status/788777042347163648,"October 19, 2016 at 11:21AM"
@USGunIncidents,"Chicago, Illinois - Killed: 0, Injured: 1  https://t.co/sQSDFDgOS8",http://twitter.com/USGunIncidents/status/788794411568271361,"October 19, 2016 at 12:30PM"
@USGunIncidents,"Corpus Christi, Texas - Killed: 0, Injured: 1  https://t.co/ZAgABeqAC2",http://twitter.com/USGunIncidents/status/788805479535378432,"October 19, 2016 at 01:14PM"
@USGunIncidents,"Statesboro, Georgia - Killed: 1, Injured: 0  https://t.co/DsolqH1awI",http://twitter.com/USGunIncidents/status/788820836216147970,"October 19, 2016 at 02:15PM"
@USGunIncidents,"Memphis, Tennessee - Killed: 0, Injured: 1  https://t.co/Lt0Plj8NWH",http://twitter.com/USGunIncidents/status/788822844583059457,"October 19, 2016 at 02:23PM"
@USGunIncidents,"Louisville, Kentucky - Killed: 1, Injured: 0  https://t.co/PSMKN4MDIa",http://twitter.com/USGunIncidents/status/788839705932595201,"October 19, 2016 at 03:30PM"
@USGunIncidents,"Springfield, Illinois - Killed: 0, Injured: 1  https://t.co/NKI1sL8A8k",http://twitter.com/USGunIncidents/status/788852037475790848,"October 19, 2016 at 04:19PM"
@USGunIncidents,"Indianapolis, Indiana - Killed: 0, Injured: 1  https://t.co/uvWiBt7xim",http://twitter.com/USGunIncidents/status/788869909312839680,"October 19, 2016 at 05:30PM"
@USGunIncidents,"Dallas, Texas - Killed: 1, Injured: 0  https://t.co/NZfbWtQnDl",http://twitter.com/USGunIncidents/status/788891045601902592,"October 19, 2016 at 06:54PM"
